CityId,CityName,CountryName,IataCode,Name,PlaceId,SkyscannerCode,Type
HKGA,Hong Kong,Hong Kong,HKG,Hong Kong International,56615,HKG,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
BKKT,Bangkok,Thailand,BKK,Bangkok Suvarnabhumi,42795,BKK,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
LOND,London,United Kingdom,LHR,London Heathrow,65698,LHR,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
SINS,Singapore,Singapore,SIN,Singapore Changi,81870,SIN,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
MFMA,Macau,Macau,MFM,Macau,67901,MFM,Station
DXBA,Dubai,United Arab Emirates,DXB,Dubai,48018,DXB,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
PARI,Paris,France,CDG,Paris Charles de Gaulle,44759,CDG,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
KULM,Kuala Lumpur,Malaysia,KUL,Kuala Lumpur International,64012,KUL,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
TYOA,Tokyo,Japan,NRT,Tokyo Narita,70788,NRT,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
TPET,Taipei,Taiwan,TPE,Taipei Taiwan Taoyuan,84501,TPE,Station
ISTA,Istanbul,Turkey,IST,Istanbul,59316,IST,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
SELA,Seoul,South Korea,ICN,Seoul Incheon Int'l,58542,ICN,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
CSHA,Shanghai,China,PVG,Shanghai Pu Dong,75575,PVG,Station
LASA,Las Vegas,United States,LAS,Las Vegas Mccarran,65363,LAS,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
MILA,Milan,Italy,MXP,Milan Malpensa,68768,MXP,Station
OSAA,Osaka,Japan,KIX,Osaka Kansai International,63448,KIX,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
BERL,Berlin,Germany,TXL,Berlin Tegel,84892,TXL,Station
JNBA,Johannesburg,South Africa,JNB,Johannesburg O.R. Tambo,61362,JNB,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
VENI,Venice,Italy,VCE,Venice Marco Polo,88485,VCE,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
ORLB,Orlando,United States,MCO,Orlando International,67759,MCO,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
MOSC,Moscow,Russia,VKO,Moscow Vnukovo,88879,VKO,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
BJSA,Beijing,China,PEK,Beijing Capital,74763,PEK,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
YTOA,Toronto,Canada,YYZ,Toronto Pearson International,96474,YYZ,Station
HANN,Hannover,Germany,HAJ,Hannover,56138,HAJ,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
SYDA,Sydney,Australia,SYD,Sydney,82628,SYD,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
UIOA,Quito,Ecuador,UIO,Quito,86479,UIO,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
LGBA,Long Beach,United States,LGB,Long Beach Municipal,65634,LGB,Station
JNBA,Johannesburg,South Africa,JNB,Johannesburg O.R. Tambo,61362,JNB,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
COPE,Copenhagen,Denmark,CPH,Copenhagen,45336,CPH,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
CEIT,Chiang Rai,Thailand,CEI,Chiang Rai,44809,CEI,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
WMIP,Nowy Dwor Mazowiecki,Poland,WMI,Warsaw Modlin,91273,WMI,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
MELA,Melbourne,Australia,MEL,Melbourne Tullamarine,67852,MEL,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
TELA,Tel Aviv,Israel,TLV,Ben Gurion Intl,84326,TLV,Station
BRUS,Brussels,Belgium,BRU,Brussels International,43141,BRU,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
AKLN,Auckland,New Zealand,AKL,Auckland International,40492,AKL,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
YVRA,Vancouver,Canada,YVR,Vancouver International,96322,YVR,Station
CGKI,Jakarta,Indonesia,CGK,Soekarno-Hatta,44907,CGK,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
FRAN,Frankfurt,Germany,FRA,Frankfurt am Main,52337,FRA,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
STOC,Stockholm,Sweden,ARN,Stockholm Arlanda,40830,ARN,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
RIOA,Rio De Janeiro,Brazil,GIG,Rio De Janeiro Internacional,54215,GIG,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
BUEA,Buenos Aires,Argentina,EZE,Buenos Aires Ministro Pistarini,50421,EZE,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
ABQA,Albuquerque,United States,ABQ,Albuquerque,40065,ABQ,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
YMQA,Montreal,Canada,YUL,Montreal Pierre Elliott Trudeau,96268,YUL,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
PVDA,Providence,United States,PVD,Providence,75572,PVD,Station
AUHA,Abu Dhabi,United Arab Emirates,AUH,Abu Dhabi International,40968,AUH,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
CMBA,Colombo,Sri Lanka,CMB,Colombo Bandaranayake,45186,CMB,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
WASA,Washington,United States,DCA,Washington Ronald Reagan,47009,DCA,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
