Airline ID,Airline Name
833,American Airlines
870,jetBlue
937,China Airlines
952,Cathay Pacific
954,China Southern
1049,Etihad Airways
1384,SWISS
1414,Xiamen Airlines
1717,Aeroflot
857,Finnair
937,China Airlines
954,China Southern
1001,Norwegian
1429,China Eastern
1713,Singapore Airlines
1717,Aeroflot
838,Air France
857,Finnair
881,British Airways
1001,Norwegian
1033,Aer Lingus
1218,Iberia
1324,KLM
1384,SWISS
1385,EL AL Israel Airlines
1710,Brussels Airlines
1760,TAP
851,Alaska Airlines
870,jetBlue
929,Air China
1001,Norwegian
1317,Korean Air
1429,China Eastern
1464,ANA
1713,Singapore Airlines
857,Finnair
870,jetBlue
1001,Norwegian
1035,Emirates
1250,AZAL
1571,Ukraine International
1717,Aeroflot
1001,Norwegian
929,Air China
937,China Airlines
954,China Southern
988,Delta
1384,SWISS
1429,China Eastern
1464,ANA
1618,Qatar Airways
1713,Singapore Airlines
1717,Aeroflot
833,American Airlines
838,Air France
858,Alitalia
988,Delta
1001,Norwegian
1218,Iberia
1385,EL AL Israel Airlines
1571,Ukraine International
1760,TAP
1816,Air Europa
833,American Airlines
851,Alaska Airlines
857,Finnair
870,jetBlue
937,China Airlines
952,Cathay Pacific
988,Delta
1001,Norwegian
1276,Japan Airlines
1464,ANA
1717,Aeroflot
851,Alaska Airlines
898,EVA Air
929,Air China
937,China Airlines
952,Cathay Pacific
954,China Southern
1001,Norwegian
1276,Japan Airlines
1317,Korean Air
1429,China Eastern
1464,ANA
1530,Asiana Airlines
1751,Thai Airways
1793,United
1001,Norwegian
1571,Ukraine International
1717,Aeroflot
1755,Turkish Airlines
898,EVA Air
937,China Airlines
954,China Southern
988,Delta
1317,Korean Air
1429,China Eastern
1530,Asiana Airlines
1717,Aeroflot
1793,United
870,jetBlue
898,EVA Air
929,Air China
937,China Airlines
954,China Southern
988,Delta
1384,SWISS
1429,China Eastern
1464,ANA
1717,Aeroflot
833,American Airlines
870,jetBlue
988,Delta
857,Finnair
858,Alitalia
881,British Airways
1001,Norwegian
1218,Iberia
1223,AIRITALY
1571,Ukraine International
1760,TAP
833,American Airlines
851,Alaska Airlines
870,jetBlue
988,Delta
857,Finnair
898,EVA Air
929,Air China
937,China Airlines
954,China Southern
1414,Xiamen Airlines
1530,Asiana Airlines
833,American Airlines
1001,Norwegian
1033,Aer Lingus
1760,TAP
857,Finnair
870,jetBlue
881,British Airways
1001,Norwegian
1033,Aer Lingus
1044,Ethiopian Airlines
1049,Etihad Airways
1126,Gulf Air
1218,Iberia
1368,Lufthansa
1618,Qatar Airways
1697,South African Airways
1755,Turkish Airlines
1793,United
858,Alitalia
881,British Airways
1001,Norwegian
1717,Aeroflot
1760,TAP
833,American Airlines
870,jetBlue
988,Delta
1001,Norwegian
1001,Norwegian
1755,Turkish Airlines
1760,TAP
857,Finnair
870,jetBlue
898,EVA Air
929,Air China
937,China Airlines
954,China Southern
1189,Hainan Airlines
1384,SWISS
1571,Ukraine International
1717,Aeroflot
833,American Airlines
954,China Southern
988,Delta
1107,GOL Linhas A̩reas
1361,LATAM Airlines Group
1907,WestJet
1001,Norwegian
1713,Singapore Airlines
1755,Turkish Airlines
851,Alaska Airlines
870,jetBlue
988,Delta
1001,Norwegian
1169,Hawaiian Airlines
1317,Korean Air
1429,China Eastern
1570,Philippine Airlines
1618,Qatar Airways
1841,Virgin Australia
854,Avianca (Scheduled)
870,jetBlue
833,American Airlines
870,jetBlue
857,Finnair
870,jetBlue
881,British Airways
1001,Norwegian
1033,Aer Lingus
1044,Ethiopian Airlines
1049,Etihad Airways
1126,Gulf Air
1218,Iberia
1368,Lufthansa
1618,Qatar Airways
1697,South African Airways
1755,Turkish Airlines
1793,United
1001,Norwegian
1760,TAP
1713,Singapore Airlines
1001,Norwegian
1571,Ukraine International
851,Alaska Airlines
870,jetBlue
937,China Airlines
952,Cathay Pacific
954,China Southern
988,Delta
1169,Hawaiian Airlines
1276,Japan Airlines
1429,China Eastern
857,Finnair
988,Delta
1001,Norwegian
1385,EL AL Israel Airlines
1571,Ukraine International
1717,Aeroflot
838,Air France
857,Finnair
1001,Norwegian
1081,Icelandair
1218,Iberia
1324,KLM
1368,Lufthansa
1710,Brussels Airlines
1760,TAP
1793,United
851,Alaska Airlines
937,China Airlines
954,China Southern
1082,Fiji Airways
1169,Hawaiian Airlines
1429,China Eastern
1713,Singapore Airlines
1758,Air Tahiti Nui
1841,Virgin Australia
851,Alaska Airlines
952,Cathay Pacific
988,Delta
1907,WestJet
898,EVA Air
929,Air China
937,China Airlines
1001,Norwegian
1049,Etihad Airways
1276,Japan Airlines
1317,Korean Air
1429,China Eastern
1464,ANA
1618,Qatar Airways
1713,Singapore Airlines
833,American Airlines
1001,Norwegian
1713,Singapore Airlines
1760,TAP
1001,Norwegian
1571,Ukraine International
1760,TAP
833,American Airlines
854,Avianca (Scheduled)
857,Finnair
870,jetBlue
941,Copa
1001,Norwegian
1324,KLM
1361,LATAM Airlines Group
833,American Airlines
850,Aerolineas Argentinas
854,Avianca (Scheduled)
941,Copa
1001,Norwegian
1361,LATAM Airlines Group
1001,Norwegian
833,American Airlines
851,Alaska Airlines
870,jetBlue
988,Delta
833,American Airlines
870,jetBlue
988,Delta
1276,Japan Airlines
1907,WestJet
833,American Airlines
870,jetBlue
1490,Linear Air
838,Air France
988,Delta
1049,Etihad Airways
1126,Gulf Air
1324,KLM
1384,SWISS
1427,EgyptAir
1718,Saudia
1804,SriLankan Airlines
881,British Airways
1333,Kuwait Airways
1618,Qatar Airways
1713,Singapore Airlines
1717,Aeroflot
833,American Airlines
870,jetBlue
988,Delta
